本地,#genre#
利州综合,http://tvfile.lzgbdst.com/nmip-media/channellive/channel106876/playlist.m3u8

广元文化,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel101257/playlist.m3u8
广元综合,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel100999/playlist.m3u8
广元公共,http://tv.drs.dzxw.net/channellive/ggpd-dz2.flv

广元文化,https://taijitv.zhonglong1.repl.co/sxg.php?id=gyggH265_4000
广元综合,https://taijitv.zhonglong1.repl.co/sxg.php?id=gyzhH265_4000
苍溪综合,https://taijitv.zhonglong1.repl.co/sxg.php?id=cxxwgqH265_4000

广元文化,http://43.142.32.164:9999/小果.php?id=gyggH265_4000&Cf.m3u8
广元综合,http://43.142.32.164:9999/小果.php?id=gyzhH265_4000&Cf.m3u8
苍溪综合,http://43.142.32.164:9999/小果.php?id=cxxwgqH265_4000&Cf.m3u8

央视,#genre#
CCTV1,http://183.237.231.139:9901/tsfile/live/1001_1.m3u8
CCTV2,http://183.237.231.139:9901/tsfile/live/1002_1.m3u8
CCTV3,http://183.237.231.139:9901/tsfile/live/1003_1.m3u8
CCTV4,http://183.237.231.139:9901/tsfile/live/1004_1.m3u8
CCTV5,http://183.237.231.139:9901/tsfile/live/1005_1.m3u8
CCTV6,http://183.237.231.139:9901/tsfile/live/1006_1.m3u8
CCTV7,http://183.237.231.139:9901/tsfile/live/1007_1.m3u8
CCTV8,http://183.237.231.139:9901/tsfile/live/1008_1.m3u8
CCTV9,http://183.237.231.139:9901/tsfile/live/1009_1.m3u8
CCTV10,http://183.237.231.139:9901/tsfile/live/1010_1.m3u8
CCTV11,http://183.237.231.139:9901/tsfile/live/1011_1.m3u8
CCTV12,http://183.237.231.139:9901/tsfile/live/1012_1.m3u8
CCTV13,http://183.237.231.139:9901/tsfile/live/1013_1.m3u8
CCTV14,http://183.237.231.139:9901/tsfile/live/1014_1.m3u8
CCTV15,http://183.237.231.139:9901/tsfile/live/1015_1.m3u8
CCTV5+,http://183.237.231.139:9901/tsfile/live/1016_1.m3u8
CCTV17,http://183.237.231.139:9901/tsfile/live/1017_1.m3u8
兵器科技,http://183.237.231.139:9901/tsfile/live/1093_1.m3u8
电视指南,http://183.237.231.139:9901/tsfile/live/1094_1.m3u8
风云足球,http://183.237.231.139:9901/tsfile/live/1095_1.m3u8
央视台球,http://183.237.231.139:9901/tsfile/live/1096_1.m3u8
高尔夫网球,http://183.237.231.139:9901/tsfile/live/1097_1.m3u8
女性时尚,http://183.237.231.139:9901/tsfile/live/1098_1.m3u8
世界地理,http://183.237.231.139:9901/tsfile/live/1099_1.m3u8
怀旧剧场,http://183.237.231.139:9901/tsfile/live/1100_1.m3u8
